!FRM4SOC_CP
!TEMPDATA
# thermal characterization results

# comments start with # (ignored by the processor)
# no empty lines between the parameter signatures in [] and the parameter values
# parameters are case insensitive
"# parameters can be inserted in any order, except the first two signatures"
# columns are tab- or space-delimited

[VERSION]
0.1

[CALDATE]
2022-03-03 14:56:41

[CALLAB]
Tartu Observatory

[USER]
Ilmar Ansko

[DEVICE]
SAT2054

[AMBIENT_TEMP]
21.0

[REFERENCE_TEMP]
20.0

#px	wl (nm)	cT (1/deg)	"ucT (1/deg, k=2)"
[CALDATA]
0	0.00	0.000E+00	0.000E+00
1	305.64	8.075E-04	2.785E-03
2	308.96	5.202E-04	2.163E-03
3	312.29	4.183E-03	3.047E-03
4	315.61	2.196E-03	4.598E-03
5	318.94	1.269E-03	2.019E-03
6	322.27	1.455E-03	3.675E-03
7	325.60	6.145E-04	2.521E-03
8	328.92	1.851E-04	1.049E-03
9	332.25	-9.054E-04	1.239E-03
10	335.58	-2.881E-04	1.495E-03
11	338.91	3.195E-04	8.031E-04
12	342.25	-1.281E-04	4.473E-04
13	345.58	-2.293E-04	1.671E-04
14	348.91	-2.086E-04	1.676E-04
15	352.24	-2.868E-04	1.742E-04
16	355.58	-2.728E-04	1.718E-04
17	358.91	-1.857E-04	8.483E-05
18	362.25	-2.451E-04	7.717E-05
19	365.58	-2.035E-04	1.230E-04
20	368.92	-3.527E-04	3.886E-05
21	372.25	-4.950E-04	5.944E-05
22	375.59	-5.396E-04	8.364E-05
23	378.93	-5.607E-04	2.193E-05
24	382.27	-6.250E-04	5.640E-05
25	385.60	-6.652E-04	4.796E-05
26	388.94	-6.595E-04	7.402E-05
27	392.28	-7.198E-04	6.837E-05
28	395.62	-6.874E-04	6.188E-05
29	398.96	-6.917E-04	5.685E-05
30	402.30	-6.709E-04	2.099E-05
31	405.64	-6.741E-04	4.838E-05
32	408.98	-6.336E-04	4.427E-05
33	412.33	-6.395E-04	3.289E-05
34	415.67	-6.347E-04	3.960E-05
35	419.01	-6.384E-04	3.103E-05
36	422.35	-5.680E-04	3.453E-05
37	425.70	-5.233E-04	3.677E-05
38	429.04	-5.342E-04	2.858E-05
39	432.39	-5.173E-04	2.824E-05
40	435.73	-5.390E-04	5.323E-05
41	439.07	-5.227E-04	4.101E-05
42	442.42	-5.806E-04	3.885E-05
43	445.76	-5.858E-04	6.618E-05
44	449.11	-4.976E-04	4.942E-05
45	452.45	-4.947E-04	1.024E-04
46	455.80	-4.950E-04	8.878E-05
47	459.15	-4.915E-04	7.232E-05
48	462.49	-4.585E-04	1.129E-04
49	465.84	-4.382E-04	8.124E-05
50	469.19	-4.349E-04	9.424E-05
51	472.53	-5.249E-04	1.047E-04
52	475.88	-5.065E-04	7.158E-05
53	479.23	-4.398E-04	6.685E-05
54	482.57	-4.122E-04	9.931E-05
55	485.92	-3.967E-04	1.082E-04
56	489.27	-2.936E-04	1.037E-04
57	492.62	-2.098E-04	8.911E-05
58	495.96	-1.447E-04	8.676E-05
59	499.31	-1.032E-04	1.146E-04
60	502.66	-1.009E-04	1.022E-04
61	506.01	-7.029E-05	8.239E-05
62	509.36	-9.969E-05	5.997E-05
63	512.70	-9.968E-05	9.111E-05
64	516.05	-6.444E-05	7.116E-05
65	519.40	-8.469E-05	7.844E-05
66	522.75	-2.971E-05	9.983E-05
67	526.10	-8.206E-05	8.961E-05
68	529.45	-5.445E-05	5.875E-05
69	532.79	-1.397E-06	7.405E-05
70	536.14	4.354E-05	6.848E-05
71	539.49	7.138E-05	6.015E-05
