!FRM4SOC_CP
!RADCAL
# radiometric calibration coefs & linearity, lamp and panel data

# comments start with # (ignored by the processor)
# no empty lines between the parameter signatures in [] and the parameter values
# parameters are case insensitive
# parameters can be inserted in any order, except the first two signatures
# columns are tab- or space-delimited

[VERSION]
0.1

[CALDATE]
2023-06-27 08:31:43

[CALLAB]
Tartu Observatory

[USER]
Riho Vendt

[LAMP_ID]
TO_7

[PANEL_ID]
SG3151_2019

[DEVICE]
SAT2054

# Correlated color temperature (K)
[LAMP_CCT]
2972.0

# wavelength (nm)	bandwidth (nm)	irradiane (mW/m2/nm)	uncertainty (%, k=2)
[LAMPDATA]
300.00	0.00	1.3604	2.49
310.00	0.00	1.9234	2.12
320.00	0.00	2.6430	1.94
330.00	0.00	3.5404	1.94
340.00	0.00	4.6356	1.93
350.00	0.00	5.9788	1.93
360.00	0.00	7.5784	1.92
370.00	0.00	9.4629	1.92
380.00	0.00	11.6366	1.92
390.00	0.00	14.0948	1.84
400.00	0.00	16.7816	1.77
410.00	0.00	19.8141	1.69
420.00	0.00	23.1562	1.62
430.00	0.00	26.7970	1.55
440.00	0.00	30.7298	1.48
450.00	0.00	34.9416	1.47
460.00	0.00	39.3770	1.47
470.00	0.00	44.0540	1.47
480.00	0.00	48.9533	1.47
490.00	0.00	54.0532	1.47
500.00	0.00	59.3174	1.47
510.00	0.00	64.7239	1.46
520.00	0.00	70.2535	1.46
530.00	0.00	75.8797	1.46
540.00	0.00	81.5759	1.46
550.00	0.00	87.3132	1.46
560.00	0.00	93.0239	1.46
570.00	0.00	98.7221	1.46
580.00	0.00	104.3841	1.46
590.00	0.00	109.9883	1.45
600.00	0.00	115.5141	1.45
610.00	0.00	120.8935	1.45
620.00	0.00	126.1573	1.45
630.00	0.00	131.2920	1.45
640.00	0.00	136.2867	1.45
650.00	0.00	141.1323	1.45
660.00	0.00	145.8222	1.45
670.00	0.00	150.3514	1.45
680.00	0.00	154.7167	1.45
690.00	0.00	158.9163	1.45
700.00	0.00	162.9496	1.45
710.00	0.00	166.8169	1.44
720.00	0.00	170.4612	1.44
730.00	0.00	173.9326	1.44
740.00	0.00	177.2388	1.44
750.00	0.00	180.3809	1.44
760.00	0.00	183.3590	1.44
770.00	0.00	186.1729	1.44
780.00	0.00	188.8210	1.44
790.00	0.00	191.3006	1.44
800.00	0.00	193.6020	1.44
810.00	0.00	195.6782	1.44
820.00	0.00	197.5690	1.44
830.00	0.00	199.2668	1.44
840.00	0.00	200.7627	1.44
850.00	0.00	202.0565	1.44
860.00	0.00	203.1286	1.44
870.00	0.00	203.9685	1.44
880.00	0.00	204.5657	1.44
890.00	0.00	204.8740	1.44
900.00	0.00	204.9217	3.13
910.00	0.00	204.2705	3.13
920.00	0.00	204.4478	3.13
