!FRM4SOC_CP
!TEMPDATA
# thermal characterization results

# comments start with # (ignored by the processor)
# no empty lines between the parameter signatures in [] and the parameter values
# parameters are case insensitive
# parameters can be inserted in any order, except the first two signatures
# columns are tab- or space-delimited

[VERSION]
0.1

[CALDATE]
2022-03-04 16:52:36

[CALLAB]
Tartu Observatory

[USER]
Ilmar Ansko

[DEVICE]
SAT2027

[AMBIENT_TEMP]
21.0

[REFERENCE_TEMP]
20.0

#px	wl (nm)	cT (1/deg)	ucT (1/deg, k=2)
[CALDATA]
0	0.00	0.000E+00	0.000E+00
1	305.23	3.987E-03	1.629E-03
2	308.57	3.655E-03	5.504E-03
3	311.92	5.362E-03	3.515E-03
4	315.27	5.638E-03	1.825E-03
5	318.62	5.400E-03	2.813E-03
6	321.97	4.463E-03	1.937E-03
7	325.33	3.734E-03	1.400E-03
8	328.68	4.237E-03	1.463E-03
9	332.03	2.122E-03	4.726E-04
10	335.39	1.870E-03	1.237E-03
11	338.74	2.619E-03	9.939E-04
12	342.10	1.655E-03	1.144E-03
13	345.46	1.149E-03	4.485E-04
14	348.82	1.046E-03	1.884E-04
15	352.18	1.402E-03	7.301E-04
16	355.54	9.488E-04	4.468E-04
17	358.90	9.839E-04	6.515E-04
18	362.26	1.042E-03	4.497E-04
19	365.62	1.036E-03	5.883E-04
20	368.99	1.008E-03	4.446E-04
21	372.35	8.620E-04	5.925E-04
22	375.72	8.513E-04	4.919E-04
23	379.08	8.035E-04	5.386E-04
24	382.45	7.523E-04	5.410E-04
25	385.82	7.304E-04	5.034E-04
26	389.19	8.406E-04	4.962E-04
27	392.56	8.117E-04	5.245E-04
28	395.93	7.992E-04	5.240E-04
29	399.30	8.235E-04	5.254E-04
30	402.67	8.029E-04	5.223E-04
31	406.04	7.868E-04	5.164E-04
32	409.41	8.336E-04	5.296E-04
33	412.78	8.298E-04	4.615E-04
34	416.16	8.579E-04	4.807E-04
35	419.53	8.477E-04	4.861E-04
36	422.91	8.639E-04	4.943E-04
37	426.28	9.084E-04	4.542E-04
38	429.66	9.455E-04	4.816E-04
39	433.04	9.486E-04	4.869E-04
40	436.41	9.288E-04	4.703E-04
41	439.79	9.323E-04	4.641E-04
42	443.17	9.415E-04	4.600E-04
43	446.55	9.388E-04	4.786E-04
44	449.93	9.797E-04	4.764E-04
45	453.31	1.018E-03	4.664E-04
46	456.69	1.065E-03	4.728E-04
47	460.07	1.079E-03	4.564E-04
48	463.45	1.104E-03	4.503E-04
49	466.84	1.112E-03	4.494E-04
50	470.22	1.120E-03	4.501E-04
51	473.60	1.127E-03	4.545E-04
52	476.98	1.099E-03	4.484E-04
53	480.37	1.128E-03	4.472E-04
54	483.75	1.184E-03	4.564E-04
55	487.14	1.265E-03	4.583E-04
56	490.52	1.350E-03	4.370E-04
57	493.91	1.403E-03	4.369E-04
58	497.29	1.438E-03	4.423E-04
59	500.68	1.453E-03	4.412E-04
60	504.07	1.472E-03	4.408E-04
61	507.45	1.486E-03	4.360E-04
62	510.84	1.512E-03	4.340E-04
63	514.23	1.514E-03	4.365E-04
64	517.62	1.527E-03	4.350E-04
65	521.00	1.535E-03	4.319E-04
66	524.39	1.530E-03	4.245E-04
67	527.78	1.534E-03	4.332E-04
68	531.17	1.552E-03	4.226E-04
69	534.56	1.577E-03	4.261E-04
70	537.95	1.619E-03	4.215E-04
71	541.34	1.667E-03	4.191E-04
72	544.73	1.718E-03	4.204E-04
73	548.12	1.762E-03	4.184E-04
74	551.51	1.806E-03	4.185E-04
75	554.90	1.833E-03	4.143E-04
76	558.29	1.855E-03	4.055E-04
77	561.68	1.872E-03	4.045E-04
78	565.07	1.876E-03	3.995E-04
79	568.46	1.891E-03	4.025E-04
80	571.85	1.897E-03	4.025E-04
81	575.24	1.908E-03	3.981E-04
82	578.63	1.928E-03	4.006E-04
83	582.02	1.929E-03	4.019E-04
84	585.41	1.928E-03	4.005E-04
85	588.80	1.935E-03	3.987E-04
86	592.19	1.932E-03	3.997E-04
87	595.58	1.938E-03	3.925E-04
88	598.98	1.962E-03	3.959E-04
89	602.37	1.975E-03	3.934E-04
90	605.76	1.972E-03	3.898E-04
91	609.15	1.968E-03	3.902E-04
92	612.54	1.941E-03	3.892E-04
93	615.93	1.934E-03	3.826E-04
94	619.32	1.924E-03	3.869E-04
95	622.71	1.939E-03	3.871E-04
96	626.10	1.972E-03	3.863E-04
97	629.49	2.041E-03	3.864E-04
98	632.88	2.132E-03	3.874E-04
99	636.27	2.218E-03	3.849E-04
100	639.66	2.295E-03	3.770E-04
101	643.05	2.335E-03	3.784E-04
102	646.44	2.360E-03	3.753E-04
103	649.83	2.382E-03	3.699E-04
104	653.22	2.431E-03	3.652E-04
105	656.61	2.478E-03	3.663E-04
106	660.00	2.497E-03	3.644E-04
107	663.39	2.517E-03	3.557E-04
108	666.78	2.541E-03	3.623E-04
109	670.17	2.559E-03	3.577E-04
110	673.56	2.587E-03	3.556E-04
111	676.94	2.600E-03	3.559E-04
112	680.33	2.629E-03	3.543E-04
113	683.72	2.653E-03	3.569E-04
114	687.11	2.674E-03	3.545E-04
115	690.49	2.697E-03	3.494E-04
116	693.88	2.718E-03	3.511E-04
117	697.27	2.745E-03	3.533E-04
118	700.65	2.755E-03	3.455E-04
119	704.04	2.771E-03	3.514E-04
120	707.42	2.781E-03	3.499E-04
121	710.81	2.786E-03	3.517E-04
122	714.19	2.791E-03	3.509E-04
123	717.57	2.799E-03	3.512E-04
124	720.96	2.802E-03	3.462E-04
125	724.34	2.809E-03	3.392E-04
126	727.72	2.818E-03	3.391E-04
127	731.10	2.802E-03	3.398E-04
128	734.49	2.785E-03	3.323E-04
129	737.87	2.808E-03	3.377E-04
130	741.25	2.838E-03	3.400E-04
131	744.63	2.893E-03	3.338E-04
132	748.01	2.963E-03	3.318E-04
133	751.39	3.040E-03	3.274E-04
134	754.77	3.124E-03	3.238E-04
